ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.19598921504514 0.141236206599527 0.178973637966994 0.121651212770561 -0.059462739063306 0.417410014997294 186 748 537 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.22143564132395 0.187311567695361 0.200026922095043 0.151699427381066 -0.0973039555718469 0.497357799761933 107 748 296 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.5523928475695 0.0138315060360159 0.43979751316465 0.178662563114827 0.089618889459589 0.789976136869711 75 748 189 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.63614232662902 0.0161464976110275 0.492341231113565 0.20466571703275 0.0911964257293749 0.893486036497754 57 748 136 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 1.75410542196411 0.0283011932545924 0.561958995886199 0.256241219252994 0.0597262061503295 1.06419178562207 36 748 84 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.55262591892931 0.142974830192219 0.439947638737331 0.30034606125178 -0.148730641316158 1.02862591879082 26 748 63 2256 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.53017330798249 0.000785647723231682 0.425381002180589 0.12668434870021 0.177079678728178 0.673682325633 183 569 537 2256 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.97555017468486 8.44717715360122e-06 0.680846929020503 0.152878201384499 0.381205654306885 0.980488203734122 116 569 296 2256 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 2.7780979430193 1.12518480893084e-08 1.02176650037706 0.178921697589854 0.67107997310095 1.37245302765318 88 569 189 2256 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 3.20555160014607 1.19465560746439e-08 1.16488418169389 0.204348182460876 0.764361744070575 1.56540661931721 67 569 136 2256 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
