ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.15111699670149 0.199884631666725 0.140732772446662 0.1097862023171 -0.0744481840948533 0.355913728988178 272 728 804 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.17288302324683 0.191417254894684 0.15946484027127 0.122064519079253 -0.0797816171240656 0.398711297666606 183 728 531 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.22633593625984 0.126861194985885 0.204030809980002 0.133650713683959 -0.0579245888405575 0.465986208800562 142 728 406 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.12842574571719 0.41115814941161 0.120823516011959 0.14701277731986 -0.167321527534966 0.408968559558884 107 728 320 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.89753034169162 0.553501017285026 -0.108108352292403 0.182454544454439 -0.465719259423104 0.249502554838298 61 728 202 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 0.950935184685588 0.79985481776627 -0.0503093736641419 0.198431670234325 -0.439235447323419 0.338616699995135 50 728 163 2212 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.29563926727698 0.0261494844152109 0.259004216034958 0.116459539786278 0.0307435180538527 0.487264914016064 232 574 804 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.30838927279989 0.035377432516008 0.26879681793241 0.127754435422308 0.0183981245046856 0.519195511360134 161 574 531 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.20171829602615 0.191649620431032 0.183752445938755 0.140729407119631 -0.0920771920157215 0.459582083893231 125 574 406 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.32093897494627 0.0669226030235985 0.278342828368853 0.151917815762124 -0.0194160905249113 0.576101747262616 105 574 320 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.48294384171638 0.0279892444070568 0.394029194412068 0.17931307121866 0.042575574823494 0.745482814000642 70 574 202 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 1.54891286478267 0.0246512170530039 0.437553307291278 0.194742945485827 0.0558571341390561 0.8192494804435 59 574 163 2212 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 1.47656717467184 0.0221968908129286 0.389719917050331 0.170407972977837 0.0557202900137706 0.723719544086891 99 210 804 2212 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
