ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.05629144413851 0.631370194118286 0.0547641359737037 0.114139702514453 -0.168949680954625 0.278477952902032 242 711 767 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.08725122084376 0.517192527588713 0.0836526953680654 0.129157627496945 -0.169496254525946 0.336801645262077 154 711 490 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.18000671645862 0.242276309443252 0.165520130375461 0.141552942015181 -0.111923635974294 0.442963896725216 119 711 364 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.08225581741577 0.616353620021759 0.0790475826230562 0.157771774112159 -0.230185094636775 0.388280259882887 89 711 282 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.812572150570722 0.29338970974621 -0.207550568018366 0.197532781188761 -0.594714819148339 0.179613683111606 48 711 177 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 0.817379860484193 0.377710811555939 -0.201651346662719 0.228598012719893 -0.64970345159371 0.246400758268272 37 711 133 2215 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 0.984237496530769 0.896712960465608 -0.0158880527891268 0.122390158121748 -0.255772762707753 0.223996657129499 204 542 767 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 0.978595975570987 0.875240949239568 -0.0216364125706949 0.137807202707444 -0.291738529877285 0.248465704735895 133 542 490 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.06014005652892 0.697377817847242 0.0584010281966029 0.150184239575259 -0.235960081370905 0.352762137764111 103 542 364 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.15475758905075 0.38030467156247 0.143890442336212 0.164008539070457 -0.177566294241884 0.465347178914308 82 542 282 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.03296053356755 0.870564717188728 0.0324289837615163 0.199022593275202 -0.35765529905788 0.422513266580913 50 542 177 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 0.952529023600898 0.834089035023678 -0.0486347014734401 0.232190703957512 -0.503728481230165 0.406459078283284 36 542 133 2215 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 2.23613415840482 2.90441078391387e-06 0.804748552779559 0.172047958394202 0.467534554326924 1.14196255123219 110 213 767 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 2.32567563501752 2.52660595401148e-06 0.844010592531026 0.179348877320368 0.492486792983105 1.19553439207895 78 213 490 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 2.1651242095185 5.48147590964077e-05 0.772477731410846 0.191487572667958 0.397162088981647 1.14779337384004 62 213 364 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 2.52255234497994 4.6480254711709e-06 0.925271224261221 0.202020844112953 0.529310369799834 1.32123207872261 55 213 282 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 2.96127177241232 1.53794986861517e-06 1.08561882890362 0.225876932399918 0.642900041399778 1.52833761640746 41 213 177 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 3.24289338891652 2.06344911113935e-06 1.1764659525685 0.247827886031725 0.690723295946323 1.66220860919069 35 213 133 2215 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 1.04426763147864 0.732320675908808 0.0433158085989248 0.126639543313097 -0.204897696294745 0.291529313492595 177 475 767 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 0.974128986455022 0.854639888485353 -0.0262115544823515 0.143074970452373 -0.306638496569003 0.2542153876043 113 475 490 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-04 0.837324328815185 0.271262304973746 -0.177543793923501 0.161379938410153 -0.4938484732074 0.138760885360398 76 475 364 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-05 0.869204856837069 0.429685246025369 -0.140176442906006 0.177499114511107 -0.488074707347775 0.207721821535763 58 475 282 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 5e-08 0.796718498820069 0.29623326788204 -0.227253863560663 0.217562520880951 -0.653676404487326 0.199168677366001 35 475 177 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-09 0.708698481489749 0.181501411291211 -0.344325115838254 0.257700132176463 -0.84941737490412 0.160767143227613 25 475 133 2215 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
5 0.01 0.953538917025038 0.707127609223489 -0.0475750398558089 0.126624807579075 -0.295759662710795 0.200609582999177 174 470 767 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 0.001 0.803708363044513 0.13381296620139 -0.218518808138229 0.145753647704739 -0.504195957639517 0.0671583413630591 106 470 490 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-04 0.731524355980076 0.0566965383524989 -0.312624763136301 0.164052113665025 -0.634166905919749 0.00891737964714667 77 470 364 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-05 0.75117171136858 0.115491443005098 -0.286121009719712 0.181781543715209 -0.642412835401522 0.0701708159620984 60 470 282 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 5e-08 0.761665255309026 0.212703488437151 -0.27224811730962 0.218468594967445 -0.700446563445813 0.155950328826573 36 470 177 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-09 0.668855398500475 0.122563462356477 -0.402187387955966 0.260466739677277 -0.912702197723428 0.108327421811497 26 470 133 2215 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
6 0.01 1.03697455514806 0.782472100529875 0.0363073919628026 0.131501397172969 -0.221435346496218 0.294050130421823 150 419 767 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 0.001 1.06887533901329 0.649945424162899 0.0666070106622538 0.146763843719584 -0.221050123028131 0.354264144352638 99 419 490 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-04 1.02797240355799 0.86506904704684 0.0275883218846944 0.162355785489357 -0.290629017674445 0.345805661443834 75 419 364 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-05 0.932897499366729 0.703331883133372 -0.0694599455132623 0.182392554657607 -0.426949352642171 0.288029461615647 56 419 282 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 5e-08 1.04271351515688 0.845028837746459 0.0418264644220165 0.213984282611428 -0.377582729496383 0.461235658340416 37 419 177 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-09 1.07083236161443 0.77868044808913 0.0684362541110381 0.243511547246331 -0.40884637849177 0.545718886713846 28 419 133 2215 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
7 0.01 0.655762804358678 0.00548175747827262 -0.421956134144923 0.15193196632976 -0.719742788151252 -0.124169480138595 0 0 767 2215 6 trans_aCRDQTLs_MON.txt 0 0 0 0
7 0.001 0.544328522429269 0.000562827231529591 -0.608202312876947 0.176345577439849 -0.953839644659052 -0.262564981094843 0 0 490 2215 6 trans_aCRDQTLs_MON.txt 0 0 0 0
