ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.50893924457326 0.000103901129910859 0.411406916929619 0.105997295220217 0.203652218297994 0.619161615561244 331 817 834 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.5373851064997 0.00025700134614255 0.430082990426432 0.117663962141665 0.199461624628768 0.660704356224096 223 817 537 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.59613938726893 0.000307548685448497 0.467587830595639 0.12956672664441 0.213637046372596 0.721538614818682 172 817 405 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.72491842777987 9.56011796646507e-05 0.545179761121644 0.139736184200183 0.271296840089285 0.819062682154004 146 817 326 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 1.75960916444683 0.000371110966645225 0.565091718734624 0.158741714808424 0.253957957710112 0.876225479759136 106 817 234 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.93891923556855 0.000110835646077038 0.662130722772365 0.171289830876915 0.326402654253613 0.997858791291118 91 817 194 2308 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.46017783292286 0.000626891767881116 0.378558231674635 0.110699103908046 0.161587988014866 0.595528475334405 281 654 834 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.53383910841475 0.000419282821337181 0.427773813751264 0.12126347326758 0.190097406146807 0.665450221355721 191 654 537 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.74408010421899 2.54303534147664e-05 0.556227255750204 0.132090807091869 0.297329273850141 0.815125237650267 156 654 405 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.76907764810193 6.02292425030922e-05 0.570458307997234 0.142191172062072 0.291763610755574 0.849153005238895 129 654 326 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.89829852394986 6.33903650414947e-05 0.640957971249844 0.160246656820491 0.326874523881682 0.955041418618006 97 654 234 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 2.16080524876683 7.52836676757808e-06 0.770480952578303 0.172052421133886 0.433258207155886 1.10770369800072 85 654 194 2308 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 0.818396470066009 0.289088140160243 -0.200408377567599 0.189042372986009 -0.570931428620177 0.17011467348498 64 182 834 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.07919059815903 0.707931615390297 0.0762113140119198 0.203427937552067 -0.322507443590132 0.474930071613972 46 182 537 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 1.10151246565729 0.66277379068132 0.0966842041796878 0.221708649326754 -0.337864748500749 0.531233156860125 36 182 405 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 1.01970087371165 0.936341912716442 0.019509323219732 0.244268323454383 -0.459256590750858 0.498275237190322 27 182 326 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 0.751320024465472 0.350714051227876 -0.2859235868736 0.306388776266504 -0.886445588355949 0.314598414608748 16 182 234 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 0.608876501207265 0.167015202789187 -0.496139821315846 0.359038121520841 -1.1998545394967 0.207574896865003 12 182 194 2308 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 0.895895167707133 0.375214731328714 -0.10993187317914 0.123971980596482 -0.352916955148245 0.133053208789966 166 456 834 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 1.01343817492553 0.92201049295603 0.0133486834957477 0.136348071898308 -0.253893537424937 0.280590904416432 116 456 537 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-04 1.03702183890963 0.808402299576013 0.0363529887263392 0.149916846333478 -0.257484030087277 0.330190007539955 89 456 405 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-05 1.12683017068047 0.456796555486118 0.119408532203396 0.16046684547764 -0.195106484932778 0.43392354933957 74 456 326 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 5e-08 0.874563337389678 0.484430680972917 -0.134030560171141 0.19169289743837 -0.509748639150347 0.241687518808064 46 456 234 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-09 0.840445796735185 0.408309774878222 -0.173822817522706 0.210217393667204 -0.585848909110426 0.238203274065013 35 456 194 2308 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
5 0.01 0.963012283936351 0.755864757234592 -0.037689111360538 0.121219736070463 -0.275279794058645 0.199901571337569 184 479 834 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 0.001 1.04144531312562 0.761297175725461 0.0406094725396554 0.133681498826787 -0.221406265160848 0.302625210240159 123 479 537 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-04 1.27972914932065 0.0853937604887225 0.246648453447399 0.143382521151427 -0.0343812880093983 0.527678194904197 103 479 405 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-05 1.36970317137996 0.0403041987392029 0.314594053138858 0.153414293089913 0.0139020386826288 0.615286067595086 87 479 326 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 5e-08 1.16221096684906 0.398726961814786 0.150324196898173 0.178130975654045 -0.198812515383755 0.499460909180102 58 479 234 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-09 1.05757498134314 0.77503885714395 0.0559785337680962 0.195872862941663 -0.327932277597562 0.439889345133755 46 479 194 2308 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
6 0.01 0.755853514637086 0.0405517124992399 -0.279907685284774 0.136668030181772 -0.547777024441047 -0.0120383461285021 126 372 834 2308 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
