ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 0.852244565486435 0.160094527433432 -0.159881744650416 0.113814787015059 -0.382958727199931 0.0631952378990992 242 723 773 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.01522709966556 0.904852237057226 0.0151123309797679 0.126426959132722 -0.232684508920367 0.262909170879902 163 723 514 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.06216192130098 0.665378393796954 0.0603063794659867 0.139436867082812 -0.212989880016326 0.333602638948299 122 723 382 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.01304863050455 0.935594329408761 0.0129642305353555 0.160431723471071 -0.301481947467943 0.327410408538654 87 723 277 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.96935980952548 0.870349769305287 -0.0311194155540197 0.190666078544356 -0.404824929500957 0.342586098392917 60 723 192 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.03108022329385 0.882421631138028 0.0306070131559509 0.206943868772835 -0.375002969638805 0.436216995950707 51 723 159 2124 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 0.984328411445219 0.896761864479072 -0.0157956861437973 0.121736595853152 -0.254399414015975 0.222808041728381 200 538 773 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 0.93809179140231 0.637434271624184 -0.0639074761258997 0.1356014196678 -0.329686258674787 0.201871306422988 137 538 514 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 0.931702765121381 0.636927311171394 -0.0707414367064197 0.14987615770344 -0.364498705805163 0.223015832392323 101 538 382 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.04379556391836 0.7985564179482 0.0428636502836377 0.167950604964315 -0.286319535446419 0.372046836013694 78 538 277 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.01504079067466 0.939909920626411 0.01492879954305 0.198039127928455 -0.373227891196723 0.403085490282823 52 538 192 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 0.897514811647888 0.622233968360426 -0.108125655527035 0.219461278261884 -0.538269760920328 0.322018449866258 42 538 159 2124 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 0.8583158670254 0.428694679447779 -0.152783103856077 0.193047551204102 -0.531156304216117 0.225590096503962 57 165 773 2124 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 0.926333944917066 0.716970548836717 -0.076520477688026 0.211084835624278 -0.49024675551161 0.337205800135558 43 165 514 2124 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 0.872931401130761 0.563550886209552 -0.135898304545252 0.235291059541223 -0.59706878124605 0.325272172155546 30 165 382 2124 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 0.801843915416593 0.416675118734286 -0.220841309237699 0.271904056539958 -0.753773260056016 0.312090641580619 22 165 277 2124 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
