ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 0.934079320357172 0.559859347649732 -0.0681939189233106 0.11696058291638 -0.297436661439416 0.161048823592795 233 724 712 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 0.820286721374509 0.154245757590406 -0.198101339627908 0.139048370871997 -0.470636146537022 0.0744334672812067 125 724 424 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 0.698223347107909 0.0316934496344148 -0.359216245872981 0.167212985517967 -0.686953697488196 -0.0314787942577658 75 724 288 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 0.716750754549939 0.0773709817745277 -0.333027121481243 0.188561250734452 -0.702607172920768 0.0365529299582826 58 724 214 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.725321625127955 0.176374844117098 -0.321140101631962 0.237529402208989 -0.786697729961581 0.144417526697658 32 724 130 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 0.758450901167803 0.295790490944597 -0.27647721377481 0.264444173983463 -0.794787794782398 0.241833367232777 27 724 106 2164 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.12507328704206 0.338766145175051 0.117848177571993 0.123194057047275 -0.123612174240665 0.359308529384651 200 560 712 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.32943564056484 0.0412624954593252 0.284754521777662 0.139525183175864 0.0112851627529685 0.558223880802357 135 560 424 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.36650909401408 0.0512749980110962 0.312259381332065 0.160201115921112 -0.00173480587331348 0.626253568537444 93 560 288 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.41393603243987 0.0516460606351573 0.34637732772397 0.177987906951838 -0.00247896990163265 0.695233625349572 69 560 214 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.24737145871862 0.322400214916138 0.221038504231335 0.223375563327342 -0.216777599890256 0.658854608352925 41 560 130 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 1.38984337412422 0.17983917131038 0.329191060307507 0.245435947691055 -0.151863397166962 0.810245517781976 36 560 106 2164 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 0.903055150653486 0.613733035656792 -0.101971652509345 0.202023277266288 -0.49793727595127 0.29399397093258 57 167 712 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.28562994072774 0.246196511927021 0.251248824472825 0.216661560161529 -0.173407833443772 0.675905482389422 44 167 424 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 1.34338371653829 0.217950981786982 0.295191592695052 0.239604553492848 -0.174433332150931 0.764816517541034 32 167 288 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 1.5541003519379 0.0869570925134661 0.440896826397097 0.257582511158657 -0.0639648954738714 0.945758548268065 25 167 214 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 1.66782891934926 0.0895741743639686 0.511522732338892 0.301312559107281 -0.079049883511379 1.10209534818916 17 167 130 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 1.17599393228256 0.657506101126258 0.162113689839449 0.365648824422876 -0.554558006029388 0.878785385708285 11 167 106 2164 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 1.36652790779966 0.0146253535721828 0.312273149009246 0.127900832169694 0.0615875179566462 0.562958780061847 180 446 712 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 1.09918225122429 0.52077670914673 0.0945664953616664 0.147265752483709 -0.194074379506403 0.383207370229736 103 446 424 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-04 1.02951567488858 0.865296304291243 0.0290884730993513 0.171475690786747 -0.307003880842672 0.365180827041375 68 446 288 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-05 1.07466472473676 0.706392886033488 0.0720087289679008 0.191154189852149 -0.302653483142311 0.446670941078113 51 446 214 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 5e-08 0.957690822765424 0.857710275175672 -0.0432302850780855 0.241119806185986 -0.515825105202618 0.429364535046447 31 446 130 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-09 0.843873398505381 0.539797147669062 -0.169752797408446 0.276867269998353 -0.712412646605218 0.372907051788326 24 446 106 2164 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
5 0.01 1.0801680617998 0.540218119839691 0.0771166418073056 0.125908177894981 -0.169663386866856 0.323896670481468 176 473 712 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 0.001 0.975081884619242 0.862193129539238 -0.0252338272859039 0.145370315684054 -0.31015964602665 0.259691991454842 105 473 424 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-04 1.03454055133511 0.838538830446804 0.0339574164058272 0.1666516616614 -0.292679840450517 0.360594673262171 77 473 288 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-05 0.980132034176392 0.915236888217911 -0.0200679876412024 0.188546132878513 -0.389618408083089 0.349482432800684 55 473 214 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 5e-08 0.870159206820039 0.560437918121731 -0.139079087730424 0.2388890352483 -0.607301596817091 0.329143421356244 32 473 130 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-09 0.899969879783521 0.690903442112087 -0.105393983125055 0.265055862148991 -0.624903472937076 0.414115506686967 27 473 106 2164 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
6 0.01 1.01152185885581 0.932139271493163 0.0114559877290977 0.134533203119381 -0.252229090384889 0.275141065843085 143 398 712 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 0.001 1.14736609930522 0.365915767703133 0.137468967085235 0.152042181189352 -0.160533708045895 0.435471642216366 92 398 424 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-04 1.33228420907333 0.0932871202135708 0.286894919533188 0.170943018892424 -0.0481533974959633 0.62194323656234 67 398 288 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-05 1.10921034897371 0.596713174512629 0.10364836484011 0.195883379558499 -0.280283059094549 0.487579788774768 47 398 214 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 5e-08 0.994199045884193 0.981287683558531 -0.00581784500398821 0.248047490623878 -0.491990926626789 0.480355236618812 29 398 130 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
6 1e-09 1.31104401491411 0.301536981836946 0.2708237777604 0.262135810029145 -0.242962409896724 0.784609965417524 27 398 106 2164 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
7 0.01 0.6025288694648 0.00111992283551053 -0.506619698641118 0.155475073282715 -0.81135084227524 -0.201888555006996 1 1 712 2164 6 trans_aCRDQTLs_MON.txt 0 0 0 0
