ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.05374937454047 0.635517330699033 0.0523546367778487 0.110458513987976 -0.164144050638585 0.268853324194282 280 761 846 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 1.04523933049425 0.712381345880716 0.0442458835910979 0.120018207472303 -0.190989803054615 0.279481570236811 195 761 587 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 1.02220742860399 0.866308979531284 0.0219644345962219 0.130469895280249 -0.233756560153066 0.27768542934551 147 761 443 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 1.05695998313983 0.699978172329542 0.0553968472687173 0.143757252093536 -0.226367366834614 0.337161061372048 112 761 335 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 1.2791712206623 0.14316773539991 0.246212384365747 0.16816683729061 -0.0833946167238476 0.575819385455342 77 761 207 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.3108314725733 0.142210396280325 0.270661647756675 0.184423510098074 -0.0908084320355494 0.6321317275489 63 761 164 2246 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.44488783909994 0.00150617422664488 0.368031698551765 0.115970603135216 0.140729316406741 0.59533408069679 267 597 846 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.63998730901409 5.91090499471298e-05 0.494688503400122 0.123168991344467 0.253277280364967 0.736099726435278 202 597 587 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.94365663469545 4.2385478532903e-07 0.664571062194559 0.131392172842119 0.407042403424005 0.922099720965112 165 597 443 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 2.43424581103561 4.16331118844052e-10 0.889636980031294 0.142392525479205 0.610547630092051 1.16872632997054 136 597 335 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 2.43035888439316 9.41636762492741e-08 0.888038935498187 0.166372923473305 0.561948005490509 1.21412986550587 90 597 207 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 2.47512892544393 6.63388686361294e-07 0.906292485752415 0.182287102476857 0.549009764897775 1.26357520660706 72 597 164 2246 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 1.24625893345744 0.235169222741994 0.22014621053898 0.185441241328094 -0.143318622464085 0.583611043542045 78 180 846 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.18634399288357 0.38623382650588 0.170876303110589 0.197210279315969 -0.215655844348711 0.557408450569889 52 180 587 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 1.18222318445009 0.428058693784642 0.167396720491499 0.211221345212168 -0.246597116124351 0.581390557107348 40 180 443 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 1.39676745014302 0.136727924613361 0.334160602669462 0.22455715282098 -0.105971416859659 0.774292622198583 33 180 335 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 0.90438134014916 0.731807379647219 -0.100504171089755 0.293252493696825 -0.675279058735532 0.474270716556021 16 180 207 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 1.10071890077861 0.753412757465771 0.0959635124984055 0.305477579861325 -0.502772544029792 0.694699569026603 14 180 164 2246 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 0.966011804964237 0.782727684908113 -0.034579224384416 0.12539328877848 -0.280350070390236 0.211191621621404 184 464 846 2246 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 1.06983348232488 0.615262191192096 0.0675030123677093 0.13431395698057 -0.195752343314208 0.330758368049627 136 464 587 2246 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
