ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 1.21186325670621 0.28266738997236 0.19215905678213 0.178861334105935 -0.158409158065502 0.542727271629762 62 791 185 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 0.673977305372148 0.338370385231671 -0.394558840191406 0.412119190971331 -1.20231245449522 0.413194774112403 10 791 44 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 0.818590386553147 0.735160492675371 -0.200171458758799 0.591752323342487 -1.36000601251007 0.959663094992475 5 791 21 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 0.941297023694748 0.942999285279345 -0.060496542343291 0.846097468711554 -1.71884758101794 1.59785449633136 2 791 9 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 1.09300123242431 0.943132289084147 0.0889273367548868 1.24664100908089 -2.35448904104365 2.53234371455342 1 791 3 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.09300123242431 0.943132289084147 0.0889273367548868 1.24664100908089 -2.35448904104365 2.53234371455342 1 791 3 2396 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.12467766003286 0.531807783386535 0.117496470185182 0.187919547798166 -0.250825843499223 0.485818783869587 57 619 185 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.92453830630577 0.0652288228220695 0.654686098093207 0.355096190378602 -0.0413024350488522 1.35067463123527 17 619 44 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 2.69403364759815 0.0600283540510784 0.991039567738737 0.5269846425156 -0.0418503315918389 2.02392946706931 10 619 21 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 3.18027284296142 0.136371549724023 1.15696699278491 0.776779874006985 -0.365521560268783 2.6794555458386 5 619 9 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1340680518.58052 0.997576252140608 21.0164431716842 6918.48769465246 -13539.2194383471 13581.2523246905 3 619 3 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 1340680518.58052 0.997576252140608 21.0164431716842 6918.48769465246 -13539.2194383471 13581.2523246905 3 619 3 2396 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 1.1194599074422 0.693042010174631 0.112846343500863 0.28588221170432 -0.447482791439604 0.67317547844133 17 199 185 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.41136731735209 0.495577803965852 0.344558963125532 0.505615638707123 -0.646447688740428 1.33556561499149 6 199 44 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 0.62862009299726 0.658945686714668 -0.464228190450465 1.05179092391318 -2.5257384013203 1.59728202041937 1 199 21 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 1.41859142409454 0.754748889350151 0.349664424437351 1.11934251034246 -1.84424689583387 2.54357574470857 1 199 9 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 11.2280373470314 0.146482605793565 2.41841398473488 1.66549598846848 -0.845958152663338 5.68278612213309 1 199 3 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 11.2280373470314 0.146482605793565 2.41841398473488 1.66549598846848 -0.845958152663338 5.68278612213309 1 199 3 2396 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 0.643113577911472 0.0451129691845957 -0.441433932844682 0.220320434153095 -0.873261983784748 -0.00960588190461598 34 527 185 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 0.564353422025597 0.213699392298626 -0.572074588940523 0.460067765204754 -1.47380740874184 0.329658230860794 9 527 44 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-04 0.71816544824197 0.614427180909703 -0.331055307172302 0.657163399581503 -1.61909557035205 0.956984956007443 6 527 21 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-05 1.12388326386825 0.891238719183677 0.116789888309447 0.854120889193661 -1.55728705451013 1.79086683112902 2 527 9 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 5e-08 1.03803310681799 0.97633230916818 0.0373276790500869 1.25820514663098 -2.42875440834664 2.50340976644681 1 527 3 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-09 1.03803310681799 0.97633230916818 0.0373276790500869 1.25820514663098 -2.42875440834664 2.50340976644681 1 527 3 2396 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
5 0.01 0.855343625098732 0.447866108796316 -0.156251990085559 0.205871744406821 -0.559760609122928 0.247256628951809 40 524 185 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 0.001 0.606688593361181 0.276660676822833 -0.499739645329499 0.459382234151431 -1.4001288242663 0.400649533607306 8 524 44 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-04 0.767312995049015 0.686015968607327 -0.264860483868668 0.655161338552891 -1.54897670743233 1.019255739695 5 524 21 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-05 1.17690162588991 0.848299257527383 0.1628852444027 0.85151435831179 -1.50608289788841 1.83185338669381 3 524 9 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 5e-08 1.44666487423205 0.779706359897042 0.36926082043333 1.32019503721913 -2.21832145251616 2.95684309338282 1 524 3 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-09 1.44666487423205 0.779706359897042 0.36926082043333 1.32019503721913 -2.21832145251616 2.95684309338282 1 524 3 2396 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
6 0.01 0.978943611678423 0.918710377377518 -0.0212812359874414 0.208520326809293 -0.429981076533655 0.387418604558772 38 479 185 2396 5 cisCRDQTLs_methyl_tcell_mean.txt 0 0 0 0
