ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 0.981386829876671 0.906371417717598 -0.0187885751466921 0.159744188890556 -0.331887185372183 0.294310035078798 88 815 274 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 0.705959980015006 0.140784091451979 -0.348196728626733 0.236405775355642 -0.811552048323792 0.115158591070326 37 815 128 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 0.453729792560734 0.0211405238882843 -0.79025342869617 0.342773930965975 -1.46209033338948 -0.118416524002859 20 815 77 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 0.429789631341623 0.047962500250333 -0.844459419444382 0.426990540722716 -1.68136087926091 -0.00755795962785843 15 815 53 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.59243105833823 0.36092064244635 -0.523520769977934 0.573022949871422 -1.64664575172592 0.599604211770054 8 815 24 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 0.50181653031685 0.381541834216851 -0.689520703550045 0.78797057941041 -2.23394303919445 0.854901632094359 4 815 13 2516 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 0.836425163161769 0.291116934019237 -0.178618226799181 0.169198195515087 -0.510246690008752 0.15301023641039 71 673 274 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.01771233411881 0.938450047400635 0.0175572987441626 0.22737285720734 -0.428093501382224 0.46320809887055 34 673 128 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 1.23689204062454 0.454267490108862 0.212601814439597 0.284105687659332 -0.344245333372694 0.769448962251889 24 673 77 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.15971480941979 0.671905614567836 0.148174120942783 0.349851679348459 -0.537535170580197 0.833883412465762 16 673 53 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 0.685420603572058 0.510880692608891 -0.377722609339724 0.574511903739075 -1.50376594066831 0.748320721988863 4 673 24 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 0.639781260594413 0.572319152579781 -0.446628941369854 0.79099873003621 -1.99698645224083 1.10372856950112 2 673 13 2516 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 0.989922875011909 0.967310478355428 -0.0101282429165521 0.24714057472096 -0.494523769369633 0.474267283536529 26 217 274 2516 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.02402506570538 0.944031021322995 0.0237410045456345 0.338170048956698 -0.639072291409493 0.686554300500762 13 217 128 2516 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 0.752139303432319 0.55730375826745 -0.284833728261878 0.485359506470479 -1.23613836094402 0.66647090442026 5 217 77 2516 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
