ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 0.691160885593687 0.0808665885638738 -0.36938265222302 0.211598157752574 -0.784115041418065 0.0453497369720238 51 264 199 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 0.806563120762711 0.366631250653884 -0.214973119429565 0.23811781163162 -0.68168403022754 0.251737791368411 35 264 133 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 0.957836079719413 0.870920567316719 -0.043078622416414 0.265116700062464 -0.562707354538844 0.476550109706016 28 264 97 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 0.918349249945937 0.777001147862818 -0.0851775141488896 0.300737052793893 -0.67462213762492 0.504267109327141 21 264 76 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.874135077185725 0.708938215735877 -0.134520364712559 0.360371494720573 -0.840848494364882 0.571807764939764 15 264 57 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 1.16871958420873 0.692053069722993 0.155908777075689 0.393639020176485 -0.615623702470222 0.9274412566216 13 264 41 864 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 1.19316211927858 0.390544337409982 0.176607025986034 0.20568451814093 -0.226534629570189 0.579748681542257 61 233 199 864 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 1.00121356114181 0.995946513921822 0.00121282537169728 0.238730430485598 -0.466698818380075 0.469124469123469 40 233 133 864 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 0.981412178264929 0.945547854975437 -0.0187627463296266 0.274715989515132 -0.557206085779286 0.519680593120032 29 233 97 864 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 1.25338668550287 0.447377832018561 0.225849236048067 0.297250684790799 -0.356762106141899 0.808460578238033 27 233 76 864 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 1.51997018658474 0.22120442791934 0.41869072057684 0.342254443981773 -0.252127989627435 1.08950943078111 23 233 57 864 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
