ID PThresh OR Pvalue Beta SE CI95_lower CI95_upper NAnnotThesh NAnnot NThresh N linkID Annotation Celltype Tissue Type Category
1 0.01 0.963552112769917 0.878862033822437 -0.0371287056470126 0.24360757847836 -0.514599559464599 0.440342148170574 33 277 114 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 0.001 0.732249137613286 0.352703382483227 -0.311634470996687 0.335322167613409 -0.968865919518968 0.345596977525594 15 277 60 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-04 0.581755864064661 0.18873587778732 -0.541704396808148 0.412153155568676 -1.34952458172275 0.266115788106456 9 277 44 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-05 0.365103921947497 0.0424758135808393 -1.00757324825965 0.496628227945217 -1.98096457503228 -0.0341819214870274 6 277 39 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 5e-08 0.444895643460183 0.149329858953115 -0.80991553339569 0.561699206288146 -1.91084597772046 0.291014910929077 5 277 28 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
1 1e-09 0.438047552754038 0.199772447866834 -0.82542780656717 0.643758943844526 -2.08719533650244 0.436339723368102 4 277 20 915 0 cisCRDQTLs_hist_mono_mean.txt 0 0 0 0
2 0.01 0.656518087893315 0.110187841823331 -0.420805033610739 0.263439564321349 -0.937146579680582 0.0955365124591041 27 258 114 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 0.001 0.627679350944786 0.188924591248301 -0.465725830575746 0.354496492855717 -1.16053895657295 0.229087295421459 13 258 60 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-04 0.624184693235602 0.253144276250533 -0.4713089716576 0.412435643162909 -1.2796828322569 0.337064888941702 10 258 44 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-05 0.607285989290734 0.255075887615486 -0.49875544683587 0.438232550191365 -1.35769124521095 0.360180351539206 8 258 39 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 5e-08 0.639897826139677 0.388924559844752 -0.446446762030057 0.518178574399235 -1.46207676785256 0.569183243792444 5 258 28 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
2 1e-09 0.742384183382852 0.608197381196961 -0.297888402447694 0.58107755303597 -1.4368004063982 0.841023601502808 4 258 20 915 1 cisCRDQTLs_hist_neut_mean.txt 0 0 0 0
3 0.01 1.48481703764585 0.22774820692296 0.395291557691571 0.327721943573149 -0.2470434517118 1.03762656709494 17 95 114 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 0.001 1.32193560005919 0.520226314724263 0.279097026218109 0.434056777305423 -0.57165425730052 1.12984830973674 8 95 60 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-04 1.53606721473093 0.364923149249608 0.42922539335851 0.473746162503165 -0.499317085147693 1.35776787186471 7 95 44 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-05 1.70756546281397 0.265054579174406 0.53506865012555 0.48008727494611 -0.405902408768826 1.47603970901993 7 95 39 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 5e-08 1.09268006042477 0.891220116604271 0.0886334494412169 0.648092523867251 -1.1816278973386 1.35889479622103 4 95 28 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
3 1e-09 0.962244265898463 0.960539602432337 -0.038486945891934 0.777884104124052 -1.56313978997508 1.48616589819121 2 95 20 915 2 cisCRDQTLs_hist_tcell_mean.txt 0 0 0 0
4 0.01 1.20053144455619 0.466595802694407 0.182764329219269 0.251039884795629 -0.309273844980163 0.674802503418702 29 220 114 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 0.001 1.33614297694906 0.36973845496405 0.289787088062807 0.323075715985478 -0.343441315268731 0.923015491394345 16 220 60 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-04 1.38103812044943 0.385647133837809 0.322835477557724 0.37212821154071 -0.406535817062068 1.05220677217751 12 220 44 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-05 1.45784808365401 0.333308197739696 0.3769614331331 0.389635549523366 -0.386724243932697 1.1406471101989 11 220 39 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 5e-08 1.41774910025855 0.445806239704065 0.349070473285491 0.4578422243714 -0.548300286482453 1.24644123305344 8 220 28 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
4 1e-09 1.69428661587487 0.293854740980941 0.527261776649375 0.502296210303053 -0.457238795544609 1.51176234884336 7 220 20 915 3 cisCRDQTLs_methyl_mono_mean.txt 0 0 0 0
5 0.01 0.993766463357205 0.980265421892272 -0.00625304625049275 0.252789813070881 -0.50172107986942 0.489214987368435 28 230 114 915 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 0.001 1.005167443213 0.987534395946205 0.00515413779529636 0.329886915037974 -0.641424215679134 0.651732491269726 14 230 60 915 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-04 0.844826963545791 0.671437011984232 -0.168623449463495 0.397531222633767 -0.947784645825678 0.610537746898688 9 230 44 915 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
5 1e-05 0.984214069759127 0.968662441310785 -0.0159118550223589 0.40502703435419 -0.80976484235657 0.777941132311852 9 230 39 915 4 cisCRDQTLs_methyl_neut_mean.txt 0 0 0 0
