Annotation	GWAS	PThresh	OR	Pvalue	Beta	SE	CI95_lower	CI95_upper	NAnnotThesh	NAnnot	NThresh	N	linkID	logpval	SEmin	SEmax
MON hCRD	BC	1e-05	1.63614232662902	0.0161464976110275	0.492341231113565	0.20466571703275	0.0911964257293749	0.893486036497754	57	748	136	2256	0	1.79192166733673	1.43147660959627	1.84080804366177
NEU hCRD	BC	1e-05	3.20555160014607	1.19465560746439e-08	1.16488418169389	0.204348182460876	0.764361744070575	1.56540661931721	67	569	136	2256	1	7.92275727407507	3.00120341768519	3.40989978260695
TCL hCRD	BC	1e-05	0.660829453414678	0.309977523208245	-0.414259485409912	0.408029206872257	-1.21399673087954	0.385477760059713	9	168	136	2256	2	0.508669796167442	0.252800246542421	1.06885866028693
MON hCRD	EC	1e-05	1.12842574571719	0.41115814941161	0.120823516011959	0.14701277731986	-0.167321527534966	0.408968559558884	107	728	320	2212	0	0.385991097331325	0.98141296839733	1.27543852303705
NEU hCRD	EC	1e-05	1.32093897494627	0.0669226030235985	0.278342828368853	0.151917815762124	-0.0194160905249113	0.576101747262616	105	574	320	2212	1	1.17442717504976	1.16902115918415	1.47285679070839
TCL hCRD	EC	1e-05	2.0455743150515	0.000347139976630964	0.715678588722962	0.200060191058571	0.323560614248164	1.10779656319776	50	210	320	2212	2	3.459495370107	1.84551412399293	2.24563450611007
MON hCRD	LC	1e-05	1.08225581741577	0.616353620021759	0.0790475826230562	0.157771774112159	-0.230185094636775	0.388280259882887	89	711	282	2215	0	0.210170048938783	0.924484043303611	1.24002759152793
NEU hCRD	LC	1e-05	1.15475758905075	0.38030467156247	0.143890442336212	0.164008539070457	-0.177566294241884	0.465347178914308	82	542	282	2215	1	0.419868339796565	0.990749049980293	1.31876612812121
TCL hCRD	LC	1e-05	2.52255234497994	4.6480254711709e-06	0.925271224261221	0.202020844112953	0.529310369799834	1.32123207872261	55	213	282	2215	2	5.33273150067826	2.32053150086699	2.72457318909289
MON hCRD	MC	1e-05	1.72491842777987	9.56011796646507e-05	0.545179761121644	0.139736184200183	0.271296840089285	0.819062682154004	146	817	326	2308	0	4.01953674874181	1.58518224357969	1.86465461198005
NEU hCRD	MC	1e-05	1.76907764810193	6.02292425030922e-05	0.570458307997234	0.142191172062072	0.291763610755574	0.849153005238895	129	654	326	2308	1	4.22019259887152	1.62688647603986	1.911268820164
TCL hCRD	MC	1e-05	1.01970087371165	0.936341912716442	0.019509323219732	0.244268323454383	-0.459256590750858	0.498275237190322	27	182	326	2308	2	0.0285655362069357	0.775432550257267	1.26396919716603
MON hCRD	NT	1e-05	1.09352600760174	0.556789558811555	0.0894073446668899	0.152152475458664	-0.208811507232091	0.387626196565871	103	772	293	2215	0	0.254308917422356	0.941373532143076	1.2456784830604
NEU hCRD	NT	1e-05	2.33112887340655	1.37355280184193e-08	0.84635264527206	0.149093588545845	0.554129211722203	1.13857607882192	123	597	293	2215	1	7.86215464086096	2.1820352848607	2.48022246195239
TCL hCRD	NT	1e-05	0.936090704052509	0.805137878552124	-0.0660429011606264	0.267701770444123	-0.590738371231107	0.458652568909854	20	169	293	2215	2	0.0941297410397087	0.668388933608386	1.20379247449663
MON hCRD	PC	1e-05	1.01304863050455	0.935594329408761	0.0129642305353555	0.160431723471071	-0.301481947467943	0.327410408538654	87	723	277	2124	0	0.0289124190924136	0.852616907033479	1.17348035397562
NEU hCRD	PC	1e-05	1.04379556391836	0.7985564179482	0.0428636502836377	0.167950604964315	-0.286319535446419	0.372046836013694	78	538	277	2124	1	0.0976943955705442	0.875844958954045	1.21174616888267
TCL hCRD	PC	1e-05	0.801843915416593	0.416675118734286	-0.220841309237699	0.271904056539958	-0.753773260056016	0.312090641580619	22	165	277	2124	2	0.38020243215377	0.529939858876635	1.07374797195655
MON hCRD	RBC	1e-05	1.11483005691391	0.498103545200722	0.108701977971841	0.16045124082129	-0.205782454037887	0.42318640998157	96	712	272	2146	0	0.302680367210336	0.95437881609262	1.2752812977352
NEU hCRD	RBC	1e-05	0.859321993945712	0.372453424942428	-0.151611579801739	0.169989645492859	-0.484791284967742	0.181568125364265	71	565	272	2146	1	0.428928027761728	0.689332348452853	1.02931163943857
TCL hCRD	RBC	1e-05	1.24615209491311	0.374127897895969	0.220060479459171	0.24760177586319	-0.265239001232682	0.705359960151023	26	177	272	2146	2	0.426979906208273	0.99855031904992	1.4937538707763
MON hCRD	RC	1e-05	0.716750754549939	0.0773709817745277	-0.333027121481243	0.188561250734452	-0.702607172920768	0.0365529299582826	58	724	214	2164	0	1.11142189226539	0.528189503815487	0.905312005284391
NEU hCRD	RC	1e-05	1.41393603243987	0.0516460606351573	0.34637732772397	0.177987906951838	-0.00247896990163265	0.695233625349572	69	560	214	2164	1	1.28696279921038	1.23594812548803	1.59192393939171
TCL hCRD	RC	1e-05	1.5541003519379	0.0869570925134661	0.440896826397097	0.257582511158657	-0.0639648954738714	0.945758548268065	25	167	214	2164	2	1.06069498969531	1.29651784077924	1.81168286309656
MON hCRD	WBC	1e-05	1.05695998313983	0.699978172329542	0.0553968472687173	0.143757252093536	-0.226367366834614	0.337161061372048	112	761	335	2246	0	0.154915502535221	0.913202731046294	1.20071723523337
NEU hCRD	WBC	1e-05	2.43424581103561	4.16331118844052e-10	0.889636980031294	0.142392525479205	0.610547630092051	1.16872632997054	136	597	335	2246	1	9.38056112637683	2.2918532855564	2.57663833651482
TCL hCRD	WBC	1e-05	1.39676745014302	0.136727924613361	0.334160602669462	0.22455715282098	-0.105971416859659	0.774292622198583	33	180	335	2246	2	0.864142778285303	1.17221029732204	1.621324602964
MON hCRD	Height	1e-05	0.429789631341623	0.047962500250333	-0.844459419444382	0.426990540722716	-1.68136087926091	-0.00755795962785843	15	815	53	2516	0	1.31909818552689	0.1	0.856780172064339
NEU hCRD	Height	1e-05	1.15971480941979	0.671905614567836	0.148174120942783	0.349851679348459	-0.537535170580197	0.833883412465762	16	673	53	2516	1	0.172691729849926	0.809863130071331	1.50956648876825
TCL hCRD	Height	1e-05	0.667302936481508	0.514874479990418	-0.404511158540511	0.621114656824751	-1.62189588591702	0.812873568836	3	217	53	2516	2	0.288298633661224	0.1	1.28841759330626
