	dist	pvalue	data_type	signif
1	0-10kb	0.264226104553415	hist	0
2	10-20kb	0.0794192514918694	hist	0
3	20-50kb	0.628973947527752	hist	0
4	50-100kb	0.0785131570643353	hist	0
5	0.1-0.2Mb	0.649952404967847	hist	0
6	0.2-0.5Mb	0.0003538845348746	hist	1
7	0.5-1Mb	1.64626554681841e-07	hist	1
8	>1Mb	1.67013932949194e-67	hist	1
9	0-10kb	0.601050142637415	methyl	0
10	10-20kb	0.570600277370206	methyl	0
11	20-50kb	0.0261535295530718	methyl	1
12	50-100kb	0.0844906035678282	methyl	0
13	0.1-0.2Mb	0.122452879621117	methyl	0
14	0.2-0.5Mb	0.150513714983143	methyl	0
15	0.5-1Mb	0.164241345619935	methyl	0
16	>1Mb	0.0321066864191099	methyl	1
