	dist	pvalue	data_type	signif
1	inside	3.73639350271342e-32	hist	1
2	0-10kb	0.0108268389138389	hist	1
3	10-20kb	0.141667719593159	hist	0
4	20-50kb	0.0063301469575946	hist	1
5	50-100kb	0.0007442629920152	hist	1
6	100-200kb	7.79986724060895e-12	hist	1
7	200-500kb	2.20886888683573e-16	hist	1
8	0.5-1Mb	6.24696684178323e-20	hist	1
9	inside	0.0925300493598192	methyl	0
10	0-10kb	0.0194893373127467	methyl	1
11	10-20kb	0.164092260901922	methyl	0
12	20-50kb	0.00281364353590506	methyl	1
13	50-100kb	0.00177730449037302	methyl	1
14	100-200kb	0.00040291446097414	methyl	1
15	200-500kb	0.000314510027833849	methyl	1
16	0.5-1Mb	2.10082151452325e-11	methyl	1
