dist	variable	value
1	0-10kb	correlated	0.441296649414329
2	10-20kb	correlated	1.25628140703518
3	20-50kb	correlated	2.10863773874565
4	50-100kb	correlated	4.0671250437012
5	100-200kb	correlated	5.74377383890509
6	200-500kb	correlated	6.09777313848295
7	0.5-1Mb	correlated	3.41324200913242
8	0-10kb	uncorrelated	0.540150097217932
9	10-20kb	uncorrelated	1.43329605973883
10	20-50kb	uncorrelated	1.77264733266664
11	50-100kb	uncorrelated	2.83110014424255
12	100-200kb	uncorrelated	3.37776078815049
13	200-500kb	uncorrelated	2.0343492345232
14	0.5-1Mb	uncorrelated	0.456138463581369
