CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
18_internal_8372	3011811	3067625	ENSG00000132205.6	ENSG00000265907.1	2847028	2948236	9.45360070467772e-09	101208	114179	164783	63575	0.000224932	3.69286e-06	1.83317896197798	0
18_internal_8372	3011811	3067625	ENSG00000132205.6	ENSG00000266397.1	2847028	2967016	0.00837902717108341	119988	104789	164783	44795	0.000224932	0.00109521	1.83317896197798	0
18_internal_8372	3011811	3067625	ENSG00000132205.6	ENSG00000101577.5	2847028	3013313	1.83722312924041e-10	166285	82391	164783	0	0.000224932	5.14967e-08	1.83317896197798	0
18_internal_8372	3011811	3067625	ENSG00000265907.1	ENSG00000266397.1	2948236	2967016	6.93899614694599e-09	18780	54185	63575	44795	3.69286e-06	0.00109521	7.07305361536709	0
18_internal_8372	3011811	3067625	ENSG00000265907.1	ENSG00000101577.5	2948236	3013313	3.66767623222877e-62	65077	31787	63575	0	3.69286e-06	5.14967e-08	7.07305361536709	0
18_internal_8372	3011811	3067625	ENSG00000266397.1	ENSG00000101577.5	2967016	3013313	3.85206126835509e-10	46297	22397	44795	0	0.00109521	5.14967e-08	6.35270890396023	0
18_internal_5933	13219223	13267091	ENSG00000267690.1	ENSG00000267694.1	13427479	13470822	3.17198275793127e-11	43343	182059	160388	203731	0.00186732	0.000123408	0	0
18_internal_8479	14178950	15198177	ENSG00000264222.1	ENSG00000265787.1	14244624	14337422	9.37944216673927e-06	92798	0	0	0	0.000206583	8.41003e-06	0	0
2_internal_49351	708657	1497816	ENSG00000235688.1	ENSG00000172554.7	945960	946554	5.47745853882224e-33	594	0	0	0	8.62348e-07	0.000108665	2.68004901833342	0
2_internal_35732	736155	742128	ENSG00000235688.1	ENSG00000172554.7	945960	946554	5.47745853882224e-33	594	204129	203832	204426	1.49601e-05	1.47522e-06	0	0
2_internal_39220	776599	1546716	ENSG00000235688.1	ENSG00000172554.7	945960	946554	5.47745853882224e-33	594	0	0	0	6.72226e-14	5.01169e-12	4.03814370246102	0
2_internal_40110	1482386	1554850	ENSG00000235688.1	ENSG00000172554.7	945960	946554	5.47745853882224e-33	594	536129	536426	535832	8.10363e-09	3.87259e-09	9.32253787735012	0
2_internal_40110	1482386	1554850	ENSG00000235688.1	ENSG00000130508.6	945960	1748624	0.00289180078097648	802664	365100	536426	193774	8.10363e-09	2.90357e-05	9.32253787735012	0
2_internal_40110	1482386	1554850	ENSG00000172554.7	ENSG00000130508.6	946554	1748624	0.00311500882545122	802070	364803	535832	193774	3.87259e-09	2.90357e-05	9.32253787735012	0
2_internal_49859	6910519	6952861	ENSG00000205837.3	ENSG00000225964.1	6910442	6980595	1.18085976745582e-15	70153	13905	77	27734	8.82242e-06	9.59376e-05	0	0
2_internal_49859	6910519	6952861	ENSG00000205837.3	ENSG00000134326.7	6910442	7006766	8.1523294657e-08	96324	26991	77	53905	8.82242e-06	0.936834	0	0
2_internal_49859	6910519	6952861	ENSG00000205837.3	ENSG00000134326.7	6910442	7006766	8.1523294657e-08	96324	26991	77	53905	8.82242e-06	0.000123459	0	0
2_internal_49859	6910519	6952861	ENSG00000225964.1	ENSG00000134326.7	6980595	7006766	8.56004973697874e-23	26171	40819	27734	53905	9.59376e-05	0.936834	0	0
2_internal_49859	6910519	6952861	ENSG00000225964.1	ENSG00000134326.7	6980595	7006766	8.56004973697874e-23	26171	40819	27734	53905	9.59376e-05	0.000123459	0	0
2_internal_49859	6910519	6952861	ENSG00000134326.7	ENSG00000134326.7	7006766	7006766	1	0	53905	53905	53905	0.936834	0.000123459	0	0
2_internal_34587	7006628	7018154	ENSG00000134321.7	ENSG00000134326.7	7005937	7006766	2.20205482575153e-29	829	345	691	0	6.16069e-09	2.2779e-09	2.59451062258646	0
2_internal_36968	7570949	7811925	ENSG00000134321.7	ENSG00000229727.1	7005937	7561392	0.687335681598445	555455	287284	565012	9557	0.000774174	2.82779e-05	0	0
2_internal_36968	7570949	7811925	ENSG00000134321.7	ENSG00000235576.1	7005937	7865932	0.3204234846049	859995	309509	565012	54007	0.000774174	2.69625e-08	0	0
2_internal_36968	7570949	7811925	ENSG00000229727.1	ENSG00000235576.1	7561392	7865932	0.00523218702622926	304540	31782	9557	54007	2.82779e-05	2.69625e-08	0	0
2_internal_50126	10182526	10194753	ENSG00000260077.1	ENSG00000172059.6	10180790	10182976	1.88002893925512e-23	2186	868	1736	0	1.11501e-06	1.31198e-09	0	0
2_internal_34835	25135610	25150052	ENSG00000138092.6	ENSG00000138031.9	25016005	25142708	8.37200288639283e-35	126703	59802	119605	0	4.00328e-12	6.86993e-14	0	0
20_internal_10548	5584139	5626259	ENSG00000235820.1	ENSG00000125772.8	5514274	5591672	0.0946395116083491	77398	34932	69865	0	0.000324172	7.61573e-11	2.06889119579518	0
20_internal_10899	18487772	18547821	ENSG00000232388.1	ENSG00000125821.7	18548064	18568537	0.00905252934907875	20473	10479	243	20716	5.4647e-06	3.97854e-06	8.51375442514593	0
20_internal_10539	29535008	29612152	ENSG00000205611.3	ENSG00000225490.1	29521213	29522987	4.13685521989905e-17	1774	12908	13795	12021	1.15566e-12	1.80393e-06	0	0
21_internal_5560	42791868	42799142	ENSG00000157601.9	ENSG00000228318.1	42792231	42814669	6.78100302146512e-54	22438	7763	0	15527	5.23376e-13	9.28423e-08	0	0
21_internal_4254	43181698	43187228	ENSG00000183421.7	ENSG00000183421.7	43187266	43187266	1	0	38	38	38	0.911017	0.000377912	0	0
21_internal_6094	45553492	45588222	ENSG00000248354.1	ENSG00000267913.1	45548223	45593580	0.344364382329589	45357	5313	5269	5358	2.9359e-05	3.47155e-05	0	0
21_internal_5044	47580411	47718081	ENSG00000235878.3	ENSG00000160285.9	47613673	47648738	2.12212321976365e-25	35065	0	0	0	3.87737e-07	3.40135e-06	0	0
