CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
11_internal_33486	60961817	61007965	ENSG00000229183.4	ENSG00000256713.2	60989688	61008514	7.18061287098649e-79	18826	274	0	549	1.63653e-08	4.09517e-08	0	0
11_internal_33065	61596334	61601938	ENSG00000124920.9	ENSG00000134825.8	61520114	61560274	0.00302828490979704	40160	56140	76220	36060	2.01125e-05	0.000181408	0	0
11_internal_33065	61596334	61601938	ENSG00000124920.9	ENSG00000134824.9	61520114	61560452	0.097945322110543	40338	56051	76220	35882	2.01125e-05	4.30558e-20	0	0
11_internal_33065	61596334	61601938	ENSG00000134825.8	ENSG00000134824.9	61560274	61560452	0.0258406359933047	178	35971	36060	35882	0.000181408	4.30558e-20	0	0
11_internal_44169	62037382	62138846	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	10999	0	21998	9.3705e-06	2.97511e-05	0	0
18_internal_6200	21593175	21656375	ENSG00000168234.8	ENSG00000265204.1	21572737	21679284	7.04988155573599e-21	106547	21673	20438	22909	4.95109e-23	2.20645e-11	1.41425015967806	0
18_internal_6200	21593175	21656375	ENSG00000168234.8	ENSG00000264924.1	21572737	21700967	4.22949270147157e-29	128230	32515	20438	44592	4.95109e-23	1.04166e-12	1.41425015967806	0
18_internal_6200	21593175	21656375	ENSG00000265204.1	ENSG00000264924.1	21679284	21700967	3.22807772335458e-21	21683	33750	22909	44592	2.20645e-11	1.04166e-12	0	0
19_internal_26895	858847	888815	ENSG00000197766.2	ENSG00000175221.9	859453	893218	0.000178305109768109	33765	2201	0	4403	3.10587e-12	1.09184e-05	0	0
19_internal_27334	3093905	3110401	ENSG00000088256.4	ENSG00000267139.1	3094408	3119302	1.23885557244037e-29	24894	4450	0	8901	2.89005e-10	4.93329e-07	0	0
19_internal_27334	3093905	3110401	ENSG00000088256.4	ENSG00000267688.1	3094408	3122126	3.18927367143708e-42	27718	5862	0	11725	2.89005e-10	7.89491e-07	0	0
