CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
11_internal_29751	7487279	7506656	ENSG00000183801.3	ENSG00000251364.2	7506619	7533746	2.7568003585272e-28	27127	13545	0	27090	0.00017691	3.16459e-08	0	0
19_internal_28872	409889	427264	ENSG00000064666.9	ENSG00000064666.9	1026212	1026212	1	0	598948	598948	598948	0.930942	4.55252e-05	0	0
2_internal_35212	9357557	9549337	ENSG00000151693.5	ENSG00000119185.8	9346894	9563676	0.0118656029318578	216782	12501	10663	14339	2.83623e-06	9.24606e-05	1.49067730499688	0
2_internal_35212	9357557	9549337	ENSG00000151693.5	ENSG00000119203.9	9346894	9563697	0.129044562227712	216803	12511	10663	14360	2.83623e-06	3.48088e-05	1.49067730499688	0
2_internal_35212	9357557	9549337	ENSG00000151693.5	ENSG00000239300.1	9346894	9645574	0.616481957799405	298680	53450	10663	96237	2.83623e-06	2.76578e-05	1.49067730499688	0
2_internal_35212	9357557	9549337	ENSG00000151693.5	ENSG00000151694.8	9346894	9695921	0.183119996573557	349027	78623	10663	146584	2.83623e-06	4.04681e-05	1.49067730499688	0
2_internal_35212	9357557	9549337	ENSG00000119185.8	ENSG00000119203.9	9563676	9563697	1.59266334464522e-05	21	14349	14339	14360	9.24606e-05	3.48088e-05	0	0
2_internal_35212	9357557	9549337	ENSG00000119185.8	ENSG00000239300.1	9563676	9645574	0.365658053943919	81898	55288	14339	96237	9.24606e-05	2.76578e-05	0	0
2_internal_35212	9357557	9549337	ENSG00000119185.8	ENSG00000151694.8	9563676	9695921	0.23394570631029	132245	80461	14339	146584	9.24606e-05	4.04681e-05	0	0
2_internal_35212	9357557	9549337	ENSG00000119203.9	ENSG00000239300.1	9563697	9645574	0.728026452112733	81877	55298	14360	96237	3.48088e-05	2.76578e-05	0	0
