CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
18_internal_3977	2593951	2598815	ENSG00000101596.9	ENSG00000265399.1	2655737	3190395	0.771592787819185	534658	324251	56922	591580	0.00114552	0.00201621	7.60314207945645	0
18_internal_4506	2992234	3074955	ENSG00000132205.6	ENSG00000265907.1	2847028	2948236	9.45360070467772e-09	101208	94602	145206	43998	0.000128825	6.83636e-10	2.36586759824505	0
18_internal_4506	2992234	3074955	ENSG00000132205.6	ENSG00000266397.1	2847028	2967016	0.00837902717108341	119988	85212	145206	25218	0.000128825	7.60407e-08	2.36586759824505	0
18_internal_4506	2992234	3074955	ENSG00000132205.6	ENSG00000101577.5	2847028	3013313	1.83722312924041e-10	166285	72603	145206	0	0.000128825	6.72739e-11	2.36586759824505	0
18_internal_4506	2992234	3074955	ENSG00000265907.1	ENSG00000266397.1	2948236	2967016	6.93899614694599e-09	18780	34608	43998	25218	6.83636e-10	7.60407e-08	7.07305361536709	0
18_internal_4506	2992234	3074955	ENSG00000265907.1	ENSG00000101577.5	2948236	3013313	3.66767623222877e-62	65077	21999	43998	0	6.83636e-10	6.72739e-11	7.07305361536709	0
18_internal_4506	2992234	3074955	ENSG00000266397.1	ENSG00000101577.5	2967016	3013313	3.85206126835509e-10	46297	12609	25218	0	7.60407e-08	6.72739e-11	6.35270890396023	0
18_internal_3697	5122021	5168634	ENSG00000263753.1	ENSG00000264575.1	5232875	5238597	5.34126078779223e-40	5722	67102	64241	69963	5.93076e-05	0.00267978	9.22899685634073	0
18_internal_3258	9073517	9096527	ENSG00000178127.8	ENSG00000265257.1	9102628	9102734	1.03141478407064e-34	106	6154	6101	6207	7.29029e-05	4.67481e-05	5.40665136267054	0
18_internal_4128	13216204	13384194	ENSG00000267690.1	ENSG00000267694.1	13427479	13470822	3.17198275793127e-11	43343	64956	43285	86628	4.31394e-05	0.00058712	10.7593054044082	0
18_internal_4128	13216204	13384194	ENSG00000267690.1	ENSG00000267702.1	13427479	13486461	5.84687346630826e-11	58982	72776	43285	102267	4.31394e-05	0.000549518	10.7593054044082	0
