CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
11_internal_8676	6148492	6178807	ENSG00000175485.2	ENSG00000267940.1	6220376	6224483	5.46688603202582e-31	4107	43622	41569	45676	0.00129831	0.00305878	8.40177443550809	0
11_internal_10924	7457019	7716186	ENSG00000183801.3	ENSG00000251364.2	7506619	7533746	2.7568003585272e-28	27127	0	0	0	1.06444e-13	5.62507e-12	3.18970964061064	0
11_internal_10924	7457019	7716186	ENSG00000183801.3	ENSG00000166387.7	7506619	7534529	0.00037322460483602	27910	0	0	0	1.06444e-13	0.000836873	3.18970964061064	0
11_internal_10924	7457019	7716186	ENSG00000251364.2	ENSG00000166387.7	7533746	7534529	0.00536418575363579	783	0	0	0	5.62507e-12	0.000836873	1.97361890885141	0
11_internal_10034	8780674	8835967	ENSG00000254860.1	ENSG00000175352.6	8986222	9025596	0.560587890015931	39374	169942	150255	189629	0.000977729	0.000913194	0	0
11_internal_10034	8780674	8835967	ENSG00000254860.1	ENSG00000205339.5	8986222	9406169	0.60177623864948	419947	360228	150255	570202	0.000977729	0.00254641	0	0
11_internal_10034	8780674	8835967	ENSG00000175352.6	ENSG00000205339.5	9025596	9406169	0.337068869858773	380573	379915	189629	570202	0.000913194	0.00254641	0	0
11_internal_9233	10228557	10318344	ENSG00000246273.2	ENSG00000255476.1	9779839	9860690	1.7907589646507e-23	80851	408292	448718	367867	1.19458e-16	4.24539e-13	3.94201516273656	0
11_internal_9233	10228557	10318344	ENSG00000246273.2	ENSG00000254865.1	9779839	10170739	3.25963934390674e-21	390900	253268	448718	57818	1.19458e-16	6.68941e-13	3.94201516273656	0
11_internal_9233	10228557	10318344	ENSG00000246273.2	ENSG00000254554.1	9779839	10325251	4.16868552312728e-08	545412	227812	448718	6907	1.19458e-16	4.23778e-06	3.94201516273656	0
11_internal_9233	10228557	10318344	ENSG00000246273.2	ENSG00000148926.5	9779839	10326227	5.12622745639427e-08	546388	228300	448718	7883	1.19458e-16	0.996136	3.94201516273656	0
11_internal_9233	10228557	10318344	ENSG00000246273.2	ENSG00000148926.5	9779839	10326227	5.12622745639427e-08	546388	228300	448718	7883	1.19458e-16	0.000362292	3.94201516273656	0
11_internal_9233	10228557	10318344	ENSG00000255476.1	ENSG00000254865.1	9860690	10170739	1.65313701872332e-14	310049	212842	367867	57818	4.24539e-13	6.68941e-13	1.11870509319096	0
11_internal_9233	10228557	10318344	ENSG00000255476.1	ENSG00000254554.1	9860690	10325251	0.00341945022729748	464561	187387	367867	6907	4.24539e-13	4.23778e-06	1.11870509319096	0
11_internal_9233	10228557	10318344	ENSG00000255476.1	ENSG00000148926.5	9860690	10326227	0.00143032004605487	465537	187875	367867	7883	4.24539e-13	0.996136	1.11870509319096	0
11_internal_9233	10228557	10318344	ENSG00000255476.1	ENSG00000148926.5	9860690	10326227	0.00143032004605487	465537	187875	367867	7883	4.24539e-13	0.000362292	1.11870509319096	0
11_internal_9233	10228557	10318344	ENSG00000254865.1	ENSG00000254554.1	10170739	10325251	0.000208710092881923	154512	32362	57818	6907	6.68941e-13	4.23778e-06	0	0
11_internal_9233	10228557	10318344	ENSG00000254865.1	ENSG00000148926.5	10170739	10326227	5.79915042915094e-06	155488	32850	57818	7883	6.68941e-13	0.996136	0	0
11_internal_9233	10228557	10318344	ENSG00000254865.1	ENSG00000148926.5	10170739	10326227	5.79915042915094e-06	155488	32850	57818	7883	6.68941e-13	0.000362292	0	0
11_internal_9233	10228557	10318344	ENSG00000254554.1	ENSG00000148926.5	10325251	10326227	3.66206635610486e-17	976	7395	6907	7883	4.23778e-06	0.996136	10.0742690481927	0
